Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
2veSTsG2D5x3Vj1ftUfpRCfHtBvmMW5RB9CxRUsagCzc,391,5,55.0,11.0,22,5,2,1,7,177.2,177.2,0.0,0.01,0.0,0.0,0.0,1.1,0.02,0.0,wallet,16
7cZErxeNgs6EjhmRYRq64iW1sAiFCM59WdNQDtJSfnS5,485,1,4.0,4.0,25,6,2,0,0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,1.0,0.92,0.0,unknown,503
5LQ2KrcpgdaEW93jx99iB4N2ny7BknthgSHnT8kdCdcc,427,7,68.0,9.71,22,2,2,1,3,0.0,0.0,0.0,0.01,0.0,106997.01,0.0,1.2363636363636363,8314.42,0.0,wallet,13
BBKZxy7fHUMX5XBaEaRGKVwknMrTr1cPueFCe51bkhzE,16,1,15.0,15.0,20,2,2,0,4,665.8,665.8,0.0,0.02,0.0,0.0,0.0,1.25,0.0,0.0,wallet,18
BHknnvfgzqSfLiCCXWN4pJRGR2dE7Ms2jei8mHWTtzhB,503,9,60.0,6.67,22,8,2,1,7,3126.2,3126.2,0.0,0.01,0.0,133560.96,0.0,1.5384615384615383,5955.46,0.0,wallet,21
4miEGj1a1wA2rxYPJDM2NA1b5PwDin9rJoHKoyNMS4PQ,225,23,370.0,16.09,22,21,2,4,19,22102.5,22102.5,0.0,1224.77,0.06,209583206.5,15120.05,1.0755813953488371,2626.22,0.0,wallet,3
ATx9TyichtpUJd1wSSxkTsqfHzV2RxNjaKe7VwfcB61F,1050,17,52.0,3.06,23,14,2,0,13,1185.2,1185.2,0.0,300.48,0.0,0.0,0.0,1.181818181818182,0.0,0.0,wallet,17
8MM6w6gFTY6KkHZJBQNtacMoKyip84nRedPP2zw7wfMN,181,46,265.0,5.76,20,3,2,2,5,29816.6,29816.6,0.0,0.0,0.0,0.0,0.0,2.704081632653061,1056.6,0.0,unknown,32
Gr5dBGnfbPFxLc2yPE6GNjzerScr5z5MaFVktMNMKXa9,258,15,67.0,4.47,22,8,2,1,6,552.8,552.8,0.0,0.01,0.0,43124.55,0.0,1.2641509433962264,912.41,0.0,wallet,13
9zCSR8WzDB9TjxvZPRQakpGLSZaw8tAjvzLLXybyANdU,193,22,54.0,2.45,9,2,2,0,3,5162.0,5162.0,0.0,0.0,0.0,0.0,0.0,3.176470588235294,37.04,0.0,unknown,42
4a2eTcwNdVVpx3A7PkWKPCTL4GDCGWnC2fQLDrkFg4zb,132,3,24.0,8.0,27,6,2,1,1,5598.9,5598.9,0.0,5.36,0.0,0.0,0.0,1.0909090909090908,1067.86,0.0,wallet,55
CnNpvakUYY1KbWByWrVLbyaGDhoXQV69SmUwgZSowfdC,909,8,17.0,2.12,15,5,2,1,3,815.4,815.4,0.0,0.01,0.0,170.63,0.0,1.2142857142857142,4403.48,0.0,wallet,6
