address,cex_name,distinct_name
BhJrLQEyFyrcf1746pHATzAZQpC1uk3SJf2AHHK7LW3K,OKX,OKX 15
44DwSkZbY2PVo9wfFP21D7HG7xf5rw8QaF6xSLGSfm7P,OKX,OKX 30
BZ3kabSsMzbuJUguYxtmkRtzw7ACqw1DUMH8PcbvXiUr,Ceffu,Ceffu 3
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,Binance,Binance 1
13VagdYbCRMSBSbmz4UivPpS9SwmTTRiPtMkjoEHRm8v,Binance,Binance 6
HXsKP7wrBWaQ8T2Vtjry3Nj3oUgwYcqq9vrHDM12G664,Binance,Binance 9
HVh6wHNBAsG3pq1Bj5oCzRjoWKVogEDHwUHkRz3ekFgt,KuCoin,KuCoin 3
6wEMcwrcF5AP9jpHWQcPxHXciWA2g217Qq81CTWjbgBw,FTX,FTX 2
YT3i7wAtjNPCTEGNbUmgL4ym9udeV5k6Utc3vCmAbky6,Bitfinex,Bitfinex 7
821dTn3JEhhqg11Q24ijxRBYXfKWngGMibTqHS8hWjZb,Rollbit,Rollbit 1
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,Bitget,Bitget 1
3Nvb6UeEMVLf9DsehhqT8B5SNHrNLEpHdf42nXi9aLK8,CoinDCX,CoinDCX 2
6XuYJv4PyauP2WKdgd4fZYvjK7uBdVkEySoy89fXV9XT,CoinDCX,CoinDCX 5
HnLezgQkNVWMp2AV6mcHM1Ljst32kfsoVnYUkvXuQpjg,OKX,OKX 23
Amf2mf2Ciap5wYAEKDtGoQHfHPWaKbyFYhutMK46hTRF,Binance,Binance 3
1743nDTMZisPgBCYSAgkUn1kVG7MePc9rvMEjoRNf4ip,Binance,Binance 14
6QJzieMYfp7yr3EdrePaQoG3Ghxs2wM98xSLRu8Xh56U,Binance,Binance 20
6FEVkH17P9y8Q9aCkDdPcMDjvj7SVxrTETaYEm8f51Jy,Crypto.com,Crypto.com 1
6brjeznfspqjwoo16z1ybywkguaruxzhnz9bjmvze8pd,Robinhood,Robinhood 2
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,Bybit,Bybit 2
EBVigEhxvkWUwreG98kTh5FbZEjnXTXC5ANZtLz4YpHQ,OKX,OKX 19
uheu4997ufs84efw7jw248mk9v83sgpmvsr6nawhaadx,OKX,OKX 26
3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E,Binance,Binance 19
bc1q75tsfq2c5cqp2ss32qksmnzd9yea2mjsjktdmrz9,Kraken,Kraken 3
JDQ7EW3VY2ZHK4DKUHMNP35XLFPRJBND6M7SZ7W5RCFD,Bitfinex,Bitfinex 6
6iVBAsquJRaLsXbojb18kqTW1d5iVLspVjCtsReZBKhY,AscendEX,AscendEX 1
hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,Backpack,Backpack 4
43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,Backpack,Backpack 9
9un5wqE3q4oCjyrDkwsdD48KteCJitQX5978Vh7KKxHo,OKX,OKX 10
enC1zkqfU5X4x84LMKSzcRdsSSiF7M1Nt7ovm62jRXr7,Binance,Binance 11
1P6bgxZi42kYYV545c3RSp7NJLUgASDpMP1ifXJazVR1,Binance,Binance 15
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,Kraken,Kraken 1
ft4vm2xm3fyfvurrkende46hpmwwnzpctfu3szxpve2,Kraken,Kraken 4
dc521827821f1695538ff9312df15f32837bbfe95bc9,Swissborg,Swissborg 9
ETZY5TjMKdV2KdHVmUNTN56pWhMc8TyjrXtQ7YexDCmG,Bitstamp,Bitstamp 2
5bjZPeHbdGUCduyY8i2dZkkgLWkG3u1P2sbt1Jb5kFxW,CoinDCX,CoinDCX 4
8zSWFy8wvHEuFJ7CZ81wy2wn4fPaju6jc6tbtbv5x9f8,CoinDCX,CoinDCX 10
EUXVDPCwXe9sJt3VucYfveB1kk5piSWJqhWQEsFtE2CR,CoinDCX,CoinDCX 15
CLNEVwuSAiGsvPtE74yLhda4beNfd8qfZXVKkUcAJZDL,Gate.io,Gate.io 1
dTcjJxSrPHVZJBsQprUEc5pRhgMWQaGciTssoZVwrSKm,Gate.io,Gate.io 5
16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9c,Binance,Binance 13
GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,Coinbase,Coinbase 3
BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,KuCoin,KuCoin 2
9uyDy9VDBw4K7xoSkhmCAm8NAFCwu4pkF6JeHUCtVKcX,FTX,FTX 3
88xTWZMeKfiTgbfEmPLdsUCQcZinwUfk25EBQZ21XMAZ,HTX,HTX 2
