Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
2fb6haygZTzM6r8ABXGADNYFcbdms6Z6gNQ3c7uETbZi,368,15,80.0,5.33,22,4,2,1,8,179.9,179.9,0.0,0.0,0.0,0.0,0.0,1.3114754098360657,4317.14,0.0,wallet,11.0
3fVL1HxtkXb8FVxzXcQWrBwXqfFfM7wdGaJNQjGkhtxR,305,32,233.0,7.28,23,5,1,1,10,678.0,678.0,0.0,0.0,0.0,0.0,0.0,1.1887755102040816,483.42,0.0,wallet,6.0
ESuFSTfnP2SSXmQkk7BUm7S2TCd4CZ1JjUWT35Cvd61o,148,2,21.0,10.5,21,8,0,0,2,31.8,31.8,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,wallet,148.0
ANUAKFp75nYQfEJW8o1YBFtxHxMS54YdRC4US2QMNELZ,34,1,5.0,5.0,10,3,0,0,3,30.4,30.4,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,wallet,37.0
493eZ1iyDSvEvVaQeTRTfVS1DUnZo7fU3ZibT9SrY4pQ,1230,2,2.0,1.0,3,3,0,0,2,30.4,30.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,unknown,1232.0
5xaRZwuYvAZsNX88aywzZvp52SfWSHQfjVnoFHW43mf8,1015,78,306.0,3.92,22,24,5,4,28,4970.5,4970.5,0.0,0.06,5000.0,7700.39,0.0,1.176923076923077,2616.58,0.5,wallet,1.0
9rAq2v3nsYa13JcuVddxpBDqJLZBYJVoznk7SqneSvwW,712,65,534.0,8.22,22,14,0,0,11,512.1,512.1,0.0,0.0,0.0,0.0,0.0,1.2447552447552448,0.0,0.0,wallet,14.0
EQRjPe99uEfUT6FCepnXTQVoGnnbhJExaJo1j8brs4ua,327,11,30.0,2.73,22,11,0,0,9,1335.4,1335.4,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,wallet,13.0
4DeGC7Z6Q4EJ1TmNta8AnATs3p8S3oBQTztPC7GU7rDF,25,1,3.0,3.0,7,3,0,0,2,30.0,30.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,wallet,29.0
CQyNq7e4p5k3NaQmNMsYwi187zKf2qBR4YcJKHPByKAc,19,16,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.29,0.0,0.0,0.0,wallet,3.0
B1m5dRVUpkUaoAhfe3Ghi8ACQ2VzMFbfdNgXn8Qd6zo9,504,103,1000.0,9.71,51,145,19,0,18,3356.9,3356.9,0.0,0.0,0.0,0.0,0.0,1.706484641638225,3877.34,33.07,unknown,98.0
7zXMWUzuy2JMSishrDhg6AjVXf1fcoFr5wDoMcFCwNtU,156,93,1000.0,10.75,51,264,5,0,142,25158.4,25158.4,0.0,0.0,867766.35,225158.9,0.0,1.326259946949602,2235.3,0.0,unknown,1.0
5eoWBoZ5x5urKM8AFYS4KPBACRSU2hWJU2Kws6VscPRe,96,43,1000.0,23.26,34,29,4,0,42,1777.6,1777.6,0.0,58.14,0.0,0.0,1.61,1.3623978201634876,0.0,0.0,wallet,0.0
9ogFGfnSaGoRDgx7ejMXvcZ5u7k38ULfTmFcXN5GNEtc,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,791.16,0.0,0.0,353767.16,0.0,0.0,0.0,wallet,0.0
7ZXysFfak84EQxfaaHMQkCcuJVfoWQMYJJRoRf1CwNTU,189,13,34.0,2.62,9,5,1,0,5,327.0,327.0,0.0,0.0,0.0,0.0,0.0,3.4,55.7,0.0,unknown,80.0
8sN9549P3Zn6xpQRqpApN57xzkCh6sJxLwuEjcG2W4Ji,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,program_accountCAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,0.0
2UwYfV64AJUVu84e41nf8vsB9HxteDFmBKM9kLAmrYc9,92,6,63.0,10.5,44,32,4,0,12,830.6,830.6,0.0,0.0,0.0,8000.0,0.0,1.26,44.1,0.0,wallet,35.0
2wMFy7gCtvjt4aMCLDR5AY5e2oPQKqui2WFjtFZJgDot,77,3,38.0,12.67,22,5,0,0,6,1907.8,1907.8,0.0,0.0,0.0,0.0,0.0,1.1875,0.0,0.0,unknown,77.0
694fsLUav3sovERv2iP7XrqhkfouR1uvAxUEo62ULi7M,46,1,15.0,15.0,22,6,0,0,7,2232.0,2232.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,unknown,49.0
8iTwHRrDsMLkUxdPz1tvX9KZB4b6kXqfDXfV24wEBkmB,123,9,70.0,7.78,33,24,3,0,21,926.1,926.1,0.0,0.01,17661.96,141934.2,0.01,1.3461538461538465,170.48,0.0,wallet,35.0
EEcf7a4C9vBfstUAu4LbjoJDDiWph26biXsbFZiLvJM,328,88,657.0,7.47,59,143,44,2,17,1440.0,1440.0,0.0,0.01,0.0,0.0,0.0,1.5386416861826695,6826.75,281.48,wallet,4.0
JBxhaz6cV6qhVphzdCxpUtjiWwAsDZamPD8ALPVNoKgE,85,9,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wallet,12.0
DTMNSMabuHb9kHYrUPh1PJTJPiL56MkgwKytHdTZt3v9,189,20,1000.0,50.0,22,138,1,1,125,3315.1,3315.1,0.0,0.78,0.0,0.0,0.0,1.314060446780552,0.0,0.0,wallet,173.0
3kxxVahftfYVbz44JqgtCeWJQnjKgWHNGT847xypoXbA,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,879.51,0.0,0.0,579368.11,0.0,0.0,0.0,wallet,-1.0
