source,destination,amount,usdamount
67eip4AQs81gs3JNLXT1jcoAvCakYEm7hhaBwojrz1NC,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,10663.0,0.0
6L2bSs7qLTrCV6c4LGfJFcXH4UwE4fAPWH6gqEeUH6wR,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,1800.0,0.0
6P5RyPFgWYYbvMsmAXfgXEhMDWxRguE5S1DK7LohTv1T,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,68.8,0.0
6RyFiXGwqUSYT53w6yFx5g1gMUVuuJwwRmbMVoGC4scy,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,540.0
6S9DGQkpS9Thi18TY1CdKZcTvsiAfwE9aTcGd4NbCvD9,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,32.8,0.0
6ZbzJ6yavbgb3UfKbLSZdkQy4NGLuUnJiR7peiYRUS96,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,10.7,0.0
6brjZR1STr22HH11tEySvdf77HxUFN6aTD9GcLARpnTK,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,594.0,0.0
6dRgZG2o1656QBetL3QrdRy41je2QrnnbH7tNC4KD7wN,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,54.4,0.0
6qEVtpHy4SPeBp1GtBmG1BoB74v8NGjbEDp2hCMhLz4j,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,6397.0,0.0
6sMtsJC27nBG6pQyAvb1MMAxgc2sxTf6vGy8erSZkEUV,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,103.5,0.0
6t5zXPM9TTtJkGSAnKWx7hmeAMDX9HJGZfBVv9VJ9YdN,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,928.3,0.0
6x9RotoWs2L21dDmEGGJNLAcEUnsAPJgmCpXE6cV4DNP,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,463.0
79cHikvU2g8jZVBcmVf92rQaqqZ1Raefqd1XREy6ezNb,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,10.6,0.0
7CvbAjnfE22Ski55aXqbFa1iuEGXsbXp9rX3KxMV79a4,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,558.0,0.0
7LXCcQvWfNstriHZzUcJKxSTmUtQWH2KJjbP84ofNBeW,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,10787.1,0.0
7Mi2qxAAjN79kcTLV1CUJATzJEpAp8C5UQnwNkm6j5Hi,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,17.2,0.0
7QD3SSh5kdH5NXKFTfvwQMr7odNLoTfkeiRd3nHmQYca,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,338.3,0.0
7QDDFAYrmfS2hMvUgmAgPZtZL2xCRG1Boiq1qQmrQYCa,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,12325.8,0.0
7UzY4w12kDpDrnyQ8BEqWHBxC3RUxRVCQ2KpYMkDDuDs,C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,0.0,1500.0
7UzY4w12kDpDrnyQ8BEqWHBxC3RUxRVCQ2KpYMkDDuDs,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,35.800000000000004,0.0
7X7aMhucR7roWnNZnMDubPcHzQfc1mwoVZrNRHFApNDb,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,1573.6,0.0
7rbCh2cNMmwD52RpiMzsFE8n6nsuNvhemkifdUHvo9UH,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,16130.1,0.0
7tBwCV1AarCDBPjTur1dbNge8jxpwkd3dRVMtmLBcvGc,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,4.6,0.0
7wrPSEodMnRpznDVNAdxne9ReU47TnSfYPeghkfhELYy,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,14099.6,0.0
7y6Y9WpqG5kCbbptGsNBn6fzMBf3Uk8kgmFNyN4V8ogc,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,652.1999999999997,0.0
85bLKtKhFAENKtLS6tfwLhoiqNoc9SRddor14wqPhpsz,6oCa9Tz8VXVp63WiFyruE5PD6yXz3pCsv6oGzUGvg9TP,6.8999999999999995,0.0
85kQEvePbFSt42qXbFCeeYKcrMs8EiXTeBAVSKBg9AEH,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,4.7,0.0
8E5svAUkdwq55fswS4ap5NA9PfDuZwHaVoNBG8ngUrVX,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,29.0,0.0
8GMqYwmWHMHmixgxUfg4cS27vnyYgt9QwSyLbX5Z8bx8,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,7.0,0.0
8NcB7HewN6eLx6AcHxp8CyoLTAKGKmFmUefsw7hEHXZC,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,1266.1,0.0
8QyPETnCiTscrWdZVEZGhx9xtv44HRwSJh6La2jXomgL,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,9672.7,0.0
8bkAsjSpGvBGn7hvg9tKEAeijKf912JEdJfNDJjiSm3Z,7mhcgF1DVsj5iv4CxZDgp51H6MBBwqamsH1KnqXhSRc5,1216.8,0.0
8eEzwkWMRV29RBPuL56ijkgckNLbMERn8M43RrZbhX82,3vxheE5C46XzK4XftziRhwAf8QAfipD7HXXWj25mgkom,131898.7,0.0
8iAxYi76w3LuAY1a4jKH1JMBZCBjRpg6K5vEZAR1CcKM,Fi3kigPLsFtSvq7N1KBtz51C8Gc8XyMFWhYjbRkaFMxS,77.0,0.0
